|Material|Texto breve                             | Item|Doc.compra|Preço líq.|
|94343   |MANCAL MONOB FOFO ST-207                | 3360|4600176606|    26,08 |
|2138    |BUCHA 37490171 BAADER                   | 3380|4600176606|   410,88 |
|403074  |SELO MEC 3/4" T-16                      | 3390|4600176606|    19,92 |
|147136  |MANCAL MONOB FOFO FY-512-M              | 3410|4600176606|    49,00 |
|990250  |PAPELAO VELUMOIDE 1,60MM METRO 1000MM 10| 3420|4600176606|    46,80 |
|927946  |RETEN 40MM 62MM 12MM NBR                | 3430|4600176606|     9,55 |
|10200   |RETENTOR 90MM 120MM 12MM NBR            | 3440|4600176606|    19,85 |
|859882  |ROL ROLOS CONICOS 320/32XQ              | 3460|4600176606|    48,64 |
|127730  |ROL AXIAL ROLOS CILINDRICOS F-554185.01.| 3470|4600176606|   101,55 |
|919420  |ELEMENTO ELAST ACOPLAMENTO NOR-MEX G 214| 3510|4600176606|   139,44 |
|215372  |ROLAMENTO RIGIDO ESFERAS 6311-Z-C3-NR   | 3520|4600176606|   151,44 |
|440960  |PAPELAO HIDRAULICO 2MM FL 1500MM 1600MM | 3530|4600176606|   376,19 |
|518369  |GAXETA S1 H-ECOPUR 12,00MM 18,00MM      | 3540|4600176606|     8,09 |
|40221   |ROL ROLOS CILINDRICOS NU-311-ECM        | 3560|4600176606|   589,98 |
|926404  |RETEN 57MM 72MM 8MM FKM                 | 3590|4600176606|    49,92 |
|246273  |ROL AXIAL ROLOS CILINDRICOS RC-081208   | 3610|4600176606|    28,13 |
|81531   |RETEN 47,7MM 65MM 8MM NBR               | 3640|4600176606|     8,64 |
|2144    |RETEN 32MM 47MM 7MM NBR                 | 3670|4600176606|     4,98 |
|34895   |MANCAL MONOB POLIBUTILENO TEREFTALATO NF| 3700|4600176606|    28,22 |
|365854  |PINO ELASTICO INOX 5X20MM               | 3710|4600176606|     0,83 |
|627096  |ROL ROLOS CILINDRICOS F553575           | 3740|4600176606|   161,58 |
|857305  |RETEN 28MM 40MM 7MM FKM                 | 3750|4600176606|    20,07 |
|516279  |RETEN 15MM 23MM 3MM NBR                 | 3760|4600176606|     4,56 |
|50989   |SELO MEC 1/2" MOLA UNICA                | 3780|4600176606|    12,28 |
|950472  |SELO MEC 1.5/8" T.21XF50 1C1            | 3790|4600176606|    86,49 |
|389102  |RETEN 35MM 65MM 10MM NBR                | 3800|4600176606|    16,44 |
|96628   |RETEN 48MM 72MM 10MM NBR                | 3820|4600176606|     7,75 |
|356429  |JUNTA PLANA 403,00MM GRAFLEX LISA       | 3860|4600176606|   198,90 |
|388000  |RETEN 35MM 62MM 12MM NBR                | 3900|4600176606|     7,25 |
|540136  |BUCHA RJ260UM-02-20 IGUS                | 3970|4600176606|    29,75 |
|540140  |BUCHA RJ260UM-02-25 IGUS                | 3980|4600176606|    46,02 |
|540116  |BUCHA RJUM-02-30 IGUS                   | 3990|4600176606|   107,40 |
|623078  |BUCHA XFM161817 IGUS                    | 4000|4600176606|    16,38 |
|544072  |ROLAMENTO RIGIDO ESFERAS 6812-2RS-C3    | 4010|4600176606|   136,95 |
|16630   |RETEN 39,4MM 63,6MM 12,7MM NBR          | 4020|4600176606|     6,48 |
|610295  |SELO MEC 1.3/4" TS-P                    | 4040|4600176606|    47,61 |
|958131  |ELEMENTO ELAST ACOPLAMENTO TETEFLEX D-11| 4050|4600176606|     5,06 |
|807230  |ANEL INTERNO AC IR-35X40X20             | 4100|4600176606|    22,90 |
|113050  |RETEN 38MM 58,5MM 7MM NBR               | 4150|4600176606|     7,75 |
|982938  |ANEL 123,19MM 6,99MM VITON              | 4170|4600176606|    66,00 |
|556051  |ANEL RETENCAO EIXO 30MM DIN-472         | 4220|4600176606|     3,28 |
|555894  |ANEL RETENCAO FURO 55MM DIN-472         | 4230|4600176606|     8,20 |
|57672   |MANCAL MONOB FOFO P-314                 | 4240|4600176606|   163,45 |
|48783   |ROL ESF CONT ANG 5411-A                 | 4260|4600176606| 1.185,03 |
|286486  |ANEL RETENCAO EIXO 22MM DIN-471         | 4290|4600176606|     0,90 |
|891751  |ANEL RETENCAO FURO 24MM DIN-472         | 4300|4600176606|     0,90 |
|36172   |RETEN 42MM 72MM 10MM NBR                | 4340|4600176606|     6,93 |
|875537  |ROL AUTOCOMPENSADOR ESFERAS 2218-CC-C3  | 4360|4600176606|   589,84 |
|11774   |RETEN 75MM 90MM 10MM NBR                | 4370|4600176606|     9,74 |
|821214  |RETEN 45MM 62MM 9MM NBR                 | 4430|4600176606|     5,90 |
|228008  |ROL AXIAL AUTOCOMP ROLOS CILINDR 29326 E| 4440|4600176606| 2.644,60 |
|913105  |SELO MEC 3/4" TS-P                      | 4450|4600176606|     5,28 |
|743933  |ACOPLAMENTO AC FLEXIVEL E10-M           | 4460|4600176606|   848,24 |
|580852  |ROLAMENTO ESFERA 698FZZ                 | 4480|4600176606|    27,65 |
|46923   |ROLAMENTO RIGIDO ESFERAS 695-ZZ         | 4490|4600176606|    20,73 |
|904191  |ROLAMENTO RIGIDO ESFERAS 6309-ZZ-C3     | 4500|4600176606|    43,06 |
|160040  |RETEN 25MM 47MM 10MM NBR                | 4530|4600176606|     4,32 |
|356315  |VEDACAO MANCAL FELTRO TSNH-616-C        | 4540|4600176606|    75,59 |
|644589  |SELO MEC 65MM MG1                       | 4550|4600176606|   640,80 |
|82893   |ROLAMENTO AXK3552 AS                    | 4560|4600176606|   340,20 |
|71242   |GAXETA CORD QUAD 5/8"                   | 4570|4600176606|   242,00 |
|809508  |ROTULA AC 20,00MM GE 20 ES              | 4590|4600176606|    22,33 |
|930604  |SELO MEC 5/8" TS-P                      | 4600|4600176606|     5,59 |
|12151   |ROLAMENTO RADIAL ESFERA UC213-V22       | 4620|4600176606|   193,43 |
|321292  |ROL AUTOCOMPENSADOR ROLOS 23128-CC-K-C3-| 4630|4600176606| 1.417,99 |
|977305  |ROL AXIAL AUTOCOMP ROLOS CILINDR 29317-E| 4640|4600176606| 2.348,90 |
|171018  |RETEN 95MM 120MM 12MM NBR               | 4660|4600176606|    19,38 |
|648397  |CORDAO LSO RED 7,00MM 7,00MM 70 SH      | 4670|4600176606|     3,61 |
|875180  |RETEN 55MM 72MM 9MM NBR                 | 4680|4600176606|     6,56 |
|537110  |RETEN 25MM 35MM 5MM NBR                 | 4690|4600176606|     3,68 |
|922543  |BUCHA ACOPLAMENTO TETEFLEX D5/D7        | 4700|4600176606|    80,17 |
|965280  |ROL ROLOS CILINDRICOS NU-319-C3         | 4720|4600176606|   971,48 |
|37894   |ROL AUTOC ROLOS 22213-CC-C3-W33         | 4730|4600176606|   297,60 |
|594689  |SELO MEC 1.1/4" T21                     | 4740|4600176606|    41,52 |
|648204  |LENCOL VEDACAO 3,20MM BRCH NAT          | 4750|4600176606|    51,92 |
